"","V1","V2","V3","V4","V5","V6"
"1",4037,0.448275862068966,0.551724137931034,0.379310344827586,0.517241379310345,0.310344827586207
"2",2122,0.40625,0.53125,0.40625,0.59375,0.46875
"3",2056,0.375,0.375,0.5625,0.53125,0.25
"4",2042,0.5,0.46875,0.46875,0.6875,0.625
"5",7098,0.375,0.40625,0.53125,0.53125,0.4375
"6",4020,0.375,0.4375,0.5,0.5,0.5
"7",5128,0.5,0.40625,0.53125,0.34375,0.46875
"8",7139,0.46875,0.4375,0.46875,0.59375,0.65625
"9",4168,0.34375,0.53125,0.40625,0.59375,0.84375
"10",5061,0.53125,0.5625,0.375,0.5625,0.71875
"11",5075,0.40625,0.34375,0.5625,0.53125,0.40625
"12",2134,0.40625,0.4375,0.5,0.8125,0.5
"13",1165,0.53125,0.53125,0.40625,0.5625,0.3125
"14",6150,0.65625,0.65625,0.28125,0.59375,0.53125
"15",7100,0.6875,0.6875,0.21875,0.375,0.40625
"16",7114,0.34375,0.4375,0.5,0.5625,0.59375
"17",2044,0.5625,0.4375,0.5,0.46875,0.15625
"18",2093,0.59375,0.3125,0.625,0.40625,0.5
"19",6035,0.53125,0.40625,0.53125,0.5,0.3125
"20",1014,0.375,0.46875,0.46875,0.625,0.34375
"21",7049,0.40625,0.40625,0.53125,0.65625,0.5625
"22",6169,0.28125,0.34375,0.59375,0.28125,0.34375
"23",4026,0.533333333333333,0.533333333333333,0.4,0.533333333333333,0.4
"24",7063,0.384615384615385,0.384615384615385,0.538461538461538,0.307692307692308,0.423076923076923
"25",7077,0.40625,0.46875,0.46875,0.53125,0.125
"26",7088,0.5625,0.625,0.34375,0.5625,0.75
"27",2090,0.625,0.65625,0.4375,0.28125,0.46875
"28",2084,0.708333333333333,0.708333333333333,0.833333333333333,0.166666666666667,0.375
"29",4147,0.71875,0.8125,0.75,0.15625,0.375
"30",1017,0.34375,0.5,0.4375,0.46875,0.21875
"31",5067,0.3125,0.46875,0.46875,0.53125,0.34375
"32",6142,0.4375,0.59375,0.3125,0.5,0.71875
"33",4033,0.375,0.5625,0.375,0.71875,0.53125
"34",1070,0.791666666666667,0.791666666666667,0.833333333333333,0.208333333333333,0.416666666666667
"35",4108,0.5,0.5625,0.34375,0.5625,0.4375
"36",6087,0.4375,0.53125,0.40625,0.65625,0.53125
"37",1071,0.3125,0.4375,0.5,0.8125,0.53125
"38",7164,0.419354838709677,0.516129032258065,0.419354838709677,0.580645161290323,0.419354838709677
"39",5001,0.4375,0.4375,0.5,0.5625,0.0625
"40",7170,0.5625,0.625,0.5,0.28125,0.28125
"41",5149,0.53125,0.625,0.3125,0.4375,0.71875
"42",6126,0.25,0.4375,0.5,0.46875,0.84375
"43",2156,0.636363636363636,0.272727272727273,0.636363636363636,0.5,0.318181818181818
"44",3103,0.375,0.21875,0.65625,0.40625,0.46875
"45",4136,0.4,0.633333333333333,0.133333333333333,0.466666666666667,0.7
"46",5162,0.5,0.375,0.53125,0.59375,0.625
"47",7013,0.46875,0.4375,0.5,0.71875,0.59375
"48",1112,0.40625,0.4375,0.5,0.5625,0.5625
"49",3073,0.419354838709677,0.516129032258065,0.419354838709677,0.548387096774194,0.516129032258065
"50",4046,0.4375,0.53125,0.40625,0.65625,0.78125
"51",4085,0.375,0.375,0.5625,0.65625,0.46875
"52",7003,0.375,0.5,0.4375,0.65625,0.375
"53",2153,0.375,0.40625,0.53125,0.71875,0.75
"54",3107,0.59375,0.46875,0.65625,0.375,0.34375
"55",1089,0.46875,0.46875,0.46875,0.46875,0.4375
"56",6081,0.46875,0.5,0.4375,0.5,0.34375
"57",1115,0.5625,0.5625,0.375,0.59375,0.59375
"58",1101,0.4375,0.40625,0.53125,0.59375,0.4375
"59",4079,0.3125,0.25,0.625,0.375,0.34375
"60",4051,0.40625,0.46875,0.46875,0.5625,0.34375
"61",5159,0.4375,0.5,0.4375,0.5625,0.5
"62",5011,0.40625,0.5,0.4375,0.53125,0.375
"63",2018,0.4375,0.5,0.4375,0.34375,0.375
"64",2024,0.46875,0.53125,0.46875,0.5,0.46875
"65",6068,0.8125,0.84375,0.875,0.15625,0.40625
"66",6097,0.8125,0.875,0.90625,0.0625,0.5
"67",4124,0.59375,0.46875,0.46875,0.53125,0
"68",4118,0.40625,0.5625,0.375,0.65625,0.125
"69",2031,0.269230769230769,0.423076923076923,0.5,0.538461538461538,0.5
"70",5038,0.71875,0.75,0.625,0.3125,0.5
"71",7161,0.523809523809524,0.571428571428571,0.333333333333333,0.666666666666667,0.333333333333333
"72",7029,0.40625,0.46875,0.46875,0.5,0.5
"73",2145,0.59375,0.59375,0.21875,0.5625,0.34375
"74",3059,0.4375,0.59375,0.3125,0.4375,0.6875
"75",3065,0.4375,0.40625,0.53125,0.75,0.5625
"76",6138,0.4375,0.375,0.5625,0.71875,0.4375
"77",1131,0.5,0.40625,0.53125,0.65625,0.4375
"78",5141,0.40625,0.25,0.59375,0.46875,0.4375
"79",5021,0.34375,0.4375,0.5,0.625,0.65625
"80",1092,0.375,0.40625,0.53125,0.59375,0.375
"81",7151,0.3125,0.375,0.5625,0.4375,0.375
"82",4060,0.34375,0.46875,0.46875,0.40625,0.3125
"83",4074,0.40625,0.46875,0.46875,0.75,0.5
"84",6113,0.46875,0.4375,0.53125,0.59375,0.5
"85",3094,0.5,0.46875,0.46875,0.53125,0.53125
"86",3123,0.46875,0.5,0.4375,0.5625,0.46875
"87",6099,0.4375,0.4375,0.5,0.5625,0.40625
"88",3091,0.5625,0.5625,0.375,0.46875,0.65625
"89",7022,0.4375,0.5,0.4375,0.65625,0.46875
"90",2166,0.28125,0.40625,0.53125,0.75,0.4375
"91",5027,0.260869565217391,0.478260869565217,0.434782608695652,0.695652173913043,0.565217391304348
"92",1057,0.34375,0.375,0.5625,0.53125,0.21875
"93",1043,0.34375,0.5625,0.375,0.53125,0.53125
"94",6062,0.59375,0.53125,0.40625,0.46875,0.40625
"95",6076,0.40625,0.46875,0.46875,0.5625,0.59375
"96",3133,0.34375,0.3125,0.59375,0.46875,0.53125
"97",7143,0.53125,0.625,0.28125,0.4375,0.5625
"98",3045,0.375,0.59375,0.25,0.40625,0.4375
"99",6129,0.5,0.5,0.4375,0.53125,0.03125
"100",2005,0.321428571428571,0.5,0.428571428571429,0.892857142857143,0.5
"101",1083,0.53125,0.5625,0.375,0.625,0.65625
"102",1055,0.46875,0.53125,0.40625,0.5625,0.375
"103",1041,0.78125,0.78125,0.78125,0.25,0.40625
"104",3078,0.46875,0.625,0.28125,0.34375,0.375
"105",3050,0.76,0.8,0.76,0.24,0.36
"106",1121,0.304347826086957,0.391304347826087,0.521739130434783,0.608695652173913,0.347826086956522
"107",1152,0.65625,0.71875,0.71875,0.4375,0.46875
"108",3157,0.59375,0.375,0.53125,0.46875,0.4375
"109",6012,0.4375,0.4375,0.5,0.75,0.65625
"110",5080,0.46875,0.46875,0.46875,0.4375,0.25
"111",5137,0.375,0.5,0.4375,0.5625,0.46875
"112",2116,0.3125,0.5,0.40625,0.5,0.21875
"113",2102,0.625,0.65625,0.21875,0.46875,0.59375
"114",3036,0.46875,0.5,0.4375,0.40625,0.25
"115",5109,0.59375,0.6875,0.8125,0.1875,0.5625
"116",7130,0.444444444444444,0.444444444444444,0.481481481481481,0.62962962962963,0.444444444444444
"117",5096,0.375,0.4375,0.46875,0.46875,0.5
"118",3154,0.34375,0.40625,0.5,0.5625,0.6875
"119",4148,0.34375,0.625,0.3125,0.5625,0.4375
"120",1030,0.45,0.3,0.6,0.5,0.65
"121",6039,0.6875,0.78125,0.71875,0.125,0.3125
"122",1144,0.40625,0.5,0.4375,0.5,0.71875
"123",1140,0.34375,0.4375,0.5,0.65625,0.40625
"124",3025,0.5625,0.59375,0.3125,0.4375,0.4375
"125",3019,0.5,0.28125,0.59375,0.53125,0.28125
"126",7069,0.46875,0.46875,0.46875,0.65625,0.375
"127",7082,0.59375,0.65625,0.28125,0.5,0.375
"128",4158,0.46875,0.625,0.65625,0.15625,0.28125
"129",6015,0.21875,0.46875,0.46875,0.8125,0.53125
"130",6028,0.4375,0.4375,0.5,0.53125,0.65625
"131",5086,0.310344827586207,0.517241379310345,0.413793103448276,0.724137931034483,0.448275862068966
"132",2064,0.5625,0.5625,0.34375,0.53125,0.46875
"133",2058,0.5,0.375,0.5625,0.6875,0.46875
"134",7120,0.521739130434783,0.565217391304348,0.304347826086957,0.739130434782609,0.608695652173913
"135",7040,0.4375,0.46875,0.46875,0.65625,0
"136",7054,0.5625,0.375,0.5,0.46875,0.59375
"137",6160,0.40625,0.46875,0.46875,0.53125,0.21875
"138",1155,0.5,0.5625,0.375,0.5625,0.5
"139",3032,0.3125,0.40625,0.53125,0.59375,0.28125
"140",4007,0.53125,0.5,0.4375,0.65625,0.59375
"141",2106,0.8125,0.84375,0.8125,0.1875,0.375
"142",5047,0.34375,0.4375,0.5,0.71875,0.625
"143",1023,0.40625,0.40625,0.53125,0.46875,0.40625
"144",3146,0.4375,0.5,0.4375,0.5,0.65625
"145",6002,0.5,0.5,0.5625,0.53125,0.5625
"146",5052,0.407407407407407,0.481481481481481,0.407407407407407,0.740740740740741,0.555555555555556
"147",6163,0,0,0,0,0
