"","V1","V2","V3","V4","V5","V6"
"1",3154,0.65625,0.59375,0.71875,0.28125,0.375
"2",5096,0.40625,0.5,0.46875,0.4375,0.375
"3",7130,0.5,0.5,0.625,0.25,0.4375
"4",1226,0.6875,0.6875,0.84375,0.15625,0.5
"5",6039,0.46875,0.46875,0.46875,0.4375,0.65625
"6",1030,0.6875,0.71875,0.53125,0.3125,0.5625
"7",4148,0.40625,0.4375,0.5,0.65625,0.09375
"8",4174,0.65625,0.71875,0.71875,0.4375,0.65625
"9",1144,0.46875,0.53125,0.46875,0.5625,0.5625
"10",1152,0.5625,0.53125,0.5625,0.46875,0.0625
"11",3157,0.4375,0.46875,0.46875,0.53125,0.65625
"12",5080,0.375,0.5,0.4375,0.75,0.4375
"13",3036,0.84375,0.90625,0.875,0.0625,0.5
"14",5137,0.40625,0.46875,0.9375,0.03125,0.625
"15",2116,0.8125,0.90625,0.9375,0,0.5
"16",2102,0.34375,0.40625,0.5,0.6875,0.59375
"17",3032,0.46875,0.53125,0.40625,0.71875,0.5
"18",1023,0.53125,0.5,0.40625,0.5,0.5625
"19",3146,0.5,0.53125,0.40625,0.8125,0.46875
"20",6002,0.4375,0.34375,0.5625,0.40625,0.53125
"21",5052,0.78125,0.78125,0.65625,0.25,0.53125
"22",7082,0.84375,0.96875,0.96875,0,0.40625
"23",7069,0.28125,0.4375,0.5,0.5,0.1875
"24",1140,0.59375,0.53125,0.40625,0.34375,0.78125
"25",3025,0.375,0.46875,0.46875,0.90625,0.53125
"26",4158,0.46875,0.46875,0.46875,0.8125,0.59375
"27",2064,0.59375,0.78125,0.3125,0.09375,0.5625
"28",7120,0.53125,0.3125,0.59375,0.375,0.4375
"29",2058,0.53125,0.5625,0.34375,0.4375,0.0625
"30",5086,0.90625,0.9375,0.9375,0.0625,0.59375
"31",6160,0.3125,0.375,0.5625,0.4375,0.46875
"32",1155,0.40625,0.40625,0.5,0.375,0.53125
"33",7040,0.1875,0.4375,0.5,0.90625,0.5
"34",7054,0.375,0.4375,0.46875,0.65625,0.5625
"35",3094,0.5,0.5,0.4375,0.625,0.8125
"36",3123,0.9375,0.9375,0.9375,0.0625,0.40625
"37",5141,0.625,0.6875,0.34375,0.21875,0.625
"38",6110,0.53125,0.59375,0.34375,0.4375,0.5
"39",1131,0.75,0.90625,0.5625,0.09375,0.34375
"40",6138,0.71875,0.875,0.46875,0.09375,0.4375
"41",5034,0.53125,0.46875,0.4375,0.5625,0.3125
"42",7151,0.75,0.8125,0.8125,0.15625,0.46875
"43",3135,0.59375,0.65625,0.25,0.3125,0.65625
"44",4060,0.96875,0.96875,0.96875,0,0.4375
"45",4074,0.8125,0.875,0.90625,0.09375,0.375
"46",6129,0.40625,0.4375,0.5,0.65625,0.53125
"47",1083,0.59375,0.65625,0.4375,0.375,0.28125
"48",4104,0.71875,0.84375,0.46875,0.15625,0.375
"49",2005,0.34375,0.4375,0.5,0.53125,0.625
"50",1055,0.6875,0.71875,0.40625,0.4375,0.6875
"51",6048,0.375,0.34375,0.59375,0.4375,0.53125
"52",1041,0.46875,0.53125,0.375,0.5,0.5
"53",1121,0.6875,0.71875,0.34375,0.34375,0.40625
"54",3050,0.90625,0.9375,0.875,0.03125,0.5625
"55",7022,0.40625,0.5625,0.34375,0.4375,0.53125
"56",2166,0.666666666666667,0.666666666666667,0.185185185185185,0.407407407407407,0.666666666666667
"57",3091,0.71875,0.6875,0.71875,0.40625,0.34375
"58",6062,0.46875,0.53125,0.46875,0.5,0.5625
"59",6076,0.5,0.5,0.4375,0.65625,0.875
"60",7143,0.59375,0.625,0.34375,0.5,0.28125
"61",3133,0.3125,0.5,0.4375,0.75,0.625
"62",4066,0.9375,0.96875,0.96875,0,0.40625
"63",6126,0.53125,0.59375,0.34375,0.46875,0.5
"64",3103,0.6875,0.6875,0.59375,0.375,0.5625
"65",6053,0.375,0.40625,0.53125,0.625,0.65625
"66",4136,0.84375,0.875,0.75,0.125,0.5
"67",5162,0.46875,0.53125,0.40625,0.46875,0.5
"68",4108,0.5625,0.65625,0.28125,0.3125,0.40625
"69",1070,0.84375,0.84375,0.78125,0.0625,0.5625
"70",7164,0.34375,0.40625,0.53125,0.59375,0.375
"71",7170,0.46875,0.375,0.5,0.4375,0.46875
"72",5001,0.46875,0.46875,0.46875,0.875,0.5625
"73",1071,0.34375,0.34375,0.53125,0.5625,0.46875
"74",6087,0.375,0.375,0.5625,0.59375,0.34375
"75",5149,0.625,0.71875,0.4375,0.34375,0.46875
"76",5159,0.4375,0.53125,0.40625,0.5625,0.65625
"77",1115,0.53125,0.5625,0.375,0.4375,0.59375
"78",4079,0.53125,0.5625,0.375,0.65625,0.34375
"79",1101,0.3125,0.40625,0.5625,0.625,0.5
"80",6097,0.5,0.5,0.4375,0.625,0.25
"81",6068,0.6875,0.75,0.65625,0.28125,0.6875
"82",2018,0.34375,0.40625,0.5,0.875,0.5625
"83",5011,0.46875,0.4375,0.5,0.65625,0.5625
"84",2024,0.5,0.59375,0.375,0.59375,0.4375
"85",2031,0.5625,0.5625,0.46875,0.5,0.6875
"86",7161,0.90625,0.9375,0.90625,0.03125,0.59375
"87",4124,0.375,0.5,0.46875,0.75,0.53125
"88",4118,0.40625,0.46875,0.46875,0.4375,0.78125
"89",3059,0.46875,0.46875,0.46875,0.6875,0.5
"90",3065,0.645161290322581,0.741935483870968,0.483870967741935,0.290322580645161,0.290322580645161
"91",7029,0.34375,0.375,0.53125,0.5,0.21875
"92",7003,0.5,0.59375,0.34375,0.4375,0.4375
"93",2153,0.4375,0.25,0.625,0.46875,0.59375
"94",4085,0.40625,0.53125,0.40625,0.53125,0.03125
"95",3073,0.5,0.5625,0.375,0.5,0.78125
"96",1089,0.25,0.4375,0.5,0.53125,0.4375
"97",3107,0.46875,0.4375,0.5,0.53125,0.6875
"98",4127,0.40625,0.46875,0.46875,0.65625,0.5
"99",7016,0.96875,0.96875,0.96875,0,0.40625
"100",5128,0.6875,0.6875,0.5,0.21875,0.3125
"101",4168,0.78125,0.8125,0.65625,0.21875,0.4375
"102",1004,0.4375,0.40625,0.53125,0.59375,0.40625
"103",7139,0.5,0.5,0.4375,0.5,0.625
"104",5061,0.40625,0.40625,0.5,0.4375,0.5
"105",1165,0.53125,0.625,0.34375,0.4375,0.4375
"106",2134,0.9375,0.9375,0.9375,0.0625,0.40625
"107",2122,0.3125,0.4375,0.5,0.5625,0.40625
"108",2056,0.78125,0.84375,0.9375,0.03125,0.59375
"109",2042,0.90625,0.90625,0.90625,0.125,0.65625
"110",7098,0.59375,0.625,0.3125,0.375,0.375
"111",7088,0.8125,0.8125,0.8125,0.1875,0.65625
"112",7063,0.96875,0.96875,0.96875,0,0.4375
"113",7077,0.53125,0.5625,0.46875,0.46875,0.4375
"114",3167,0.46875,0.53125,0.40625,0.625,0.59375
"115",2084,0.4375,0.46875,0.46875,0.65625,0.46875
"116",5067,0.53125,0.40625,0.53125,0.5625,0.46875
"117",4147,0.375,0.4375,0.5,0.4375,0.34375
"118",1017,0.625,0.65625,0.15625,0.3125,0.375
"119",4033,0.4375,0.5,0.46875,0.75,0.65625
"120",5105,0.90625,0.9375,0.90625,0.03125,0.375
"121",2093,0.53125,0.53125,0.40625,0.75,0.59375
"122",7100,0.28125,0.46875,0.5,0.40625,0.03125
"123",7114,0.53125,0.53125,0.46875,0.625,0.625
"124",2044,0.46875,0.5,0.4375,0.59375,0.5625
"125",6035,0.40625,0.40625,0.5,0.84375,0.375
"126",1014,0,0,0,0,0
